title,cast,release_year,plot
Midnight Cowboy,Dustin HoffmanJon Voight,"
May 25, 1969 (1969-05-25)
","NAJoe Buck, a young Texan working as a dishwasher, quits his job and heads to New York City to become a male prostitute. Initially unsuccessful, he manages to bed a middle-aged woman, Cass, in her posh Park Avenue apartment. The encounter ends badly as he gives her money after she is insulted and throws a tantrum when he requests payment.
Joe meets Enrico Salvatore ""Ratso"" Rizzo, a con man with a limp who takes $20 from him by ostensibly introducing him to a pimp. After discovering that the man is actually an unhinged homosexual religious fanatic, Joe flees in pursuit of Ratso but cannot find him. Joe spends his days wandering the city and sitting in his hotel room. Soon broke, he is locked out of his hotel room and his belongings are impounded.
Joe tries to make money by receiving oral sex from a young man in a movie theater, but learns after the act that the young man has no money. Joe threatens him and asks for his watch, but eventually lets him go unharmed. The next day, Joe spots Ratso and angrily shakes him down. Ratso offers to share the apartment in a condemned building where he is squatting. Joe reluctantly accepts his offer, and they begin a ""business relationship"" as hustlers. As they develop a bond, Ratso's health grows steadily worse.
In a flashback, Joe's grandmother raises him after his mother abandons him. He also has a tragic relationship with Annie, a mentally unstable girl. The film has successive flashbacks to an experience in which he and Annie were jumped while naked in a parked car and both raped by a gang of cowboys. The viewer gains more information about the experience as the flashbacks accumulate.
Ratso tells Joe his father was an illiterate Italian immigrant shoeshiner whose job led to a bad back and lung damage from long-term exposure to shoe polish. Ratso learned shoeshining from his father but considers it degrading and generally refuses to do it, although he does shine Joe's cowboy boots to help him attract clients. Ratso harbors hopes of moving to Miami, shown in daydreams in which he and Joe frolic carefree on a beach and are surrounded by dozens of adoring middle-aged women.
A Warhol-like silent artsy filmmaker/photographer (Hansel McAlbertson) and an outgoing passionate female artist (Gretel McAlbertson) approach Joe in a diner and take his Polaroid photograph and hand him a flyer inviting him to a Warhol-esque happening/party, that fleetingly incorporates some of the Warhol Superstars, including Viva, Isabelle Collin Dufresne (aka Ultra Violet), Taylor Mead, Joe Dallesandro and the Warhol-related filmmaker Paul Morrissey.[6] Joe and Ratso attend, but Ratso's poor health and hygiene attract unwanted attention from several guests. Joe mistakes a joint for a cigarette and starts to hallucinate after taking several long puffs, along with some ""uppers"" he is offered. He leaves the party with Shirley, a socialite who agrees to pay him $20 for spending the night, but Joe cannot perform sexually. They play Scribbage together and the resulting wordplay leads Shirley to suggest that Joe may be gay; suddenly he is able to perform. The next morning, she sets up her friend as Joe's next client and it appears that his career is finally taking off.
When Joe returns home, Ratso is bedridden and feverish. He refuses medical help and begs Joe to put him on a bus to Florida. Desperate, Joe picks up a man in an amusement arcade and robs him during a violent encounter in the man's hotel room where Joe brutally beats the man (it is implied that Joe may have killed the man). Joe buys bus tickets with the money so he and Ratso can board a bus to Florida. During the trip, Ratso's health deteriorates further as he becomes incontinent and sweat-drenched.
At a rest stop, Joe buys new clothing for Ratso and himself and discards his cowboy outfit. On the bus, Joe muses that there must be easier ways to earn a living than hustling, and tells Ratso he plans to get a regular job in Florida. When Ratso fails to respond, Joe realizes that he has died. The driver tells Joe there is nothing to do but continue to Miami and asks Joe to close Ratso's eyelids. Joe, with tears welling in his eyes, sits with his arm around his dead friend, alone.
"
The Sound of Music,NA,NA,NA
The French Connection,"
Gene Hackman
Fernando Rey
Roy Scheider
Tony Lo Bianco
Marcel Bozzuffi
","
October 7, 1971 (1971-10-07) (United States)
[1]","NAIn Marseille, an undercover police detective follows Alain Charnier, who runs the world's largest heroin-smuggling syndicate. The policeman is assassinated by Charnier's hitman, Pierre Nicoli. Charnier plans to smuggle $32 million worth of heroin into the United States by hiding it in the car of his unsuspecting friend, television personality Henri Devereaux, who is traveling to New York City by ship.
In New York City, detectives Jimmy ""Popeye"" Doyle and Buddy ""Cloudy"" Russo go out for drinks at the Copacabana. Popeye notices Salvatore ""Sal"" Boca and his young wife, Angie, entertaining mobsters involved in narcotics. They tail the couple and establish a link between the Bocas and lawyer Joel Weinstock, who is part of the narcotics underworld.
Popeye learns from an informant that a massive shipment of heroin will arrive in the next two weeks. The detectives convince their supervisor to wiretap the Bocas' phones. Popeye and Cloudy are joined by federal agents Mulderig and Klein.
Devereaux's vehicle arrives in New York City. Boca is impatient to make the purchase—reflecting Charnier's desire to return to France as soon as possible—while Weinstock, with more experience in smuggling, urges patience, knowing Boca's phone is tapped and that they are being investigated.
Charnier realizes he is being observed. He ""makes"" Popeye and escapes on a departing subway shuttle at Grand Central Station. To avoid being tailed, he has Boca meet him in Washington D.C., where Boca asks for a delay to avoid the police. Charnier, however, wants to conclude the deal quickly. On the flight back to New York City, Nicoli offers to kill Popeye, but Charnier objects, knowing that Popeye would be replaced by another policeman. Nicoli insists, however, saying they will be back in France before a replacement is assigned.
Soon after, Nicoli attempts to shoot Popeye but misses. Popeye chases Nicoli, who boards an elevated train. Popeye commandeers a car and gives chase. Realizing he is being pursued, Nicoli works his way forward through the carriages, shoots a policeman who tries to intervene and hijacks the motorman at gunpoint, forcing him to drive straight through the next station, also shooting the train conductor. The motorman passes out and they are just about to slam into a stationary train when an emergency trackside brake engages, hurling the assassin against a glass window. Popeye arrives to see the killer descending from the platform. When the killer sees Popeye, he turns to run but is shot dead by Popeye.
After a lengthy stakeout, Popeye impounds Devereaux's Lincoln Continental Mark III. He and his team take it apart searching for the drugs, but come up empty-handed. Cloudy notes that the vehicle's shipping weight is 120 pounds over its listed manufacturer's weight. They remove the rocker panels and discover the heroin concealed therein. The police restore the car to its original condition and return it to Devereaux, who delivers the Lincoln Continental to Charnier.
Charnier drives to an old factory on Wards Island to meet Weinstock and deliver the drugs. After Charnier has the rocker panels removed, Weinstock's chemist tests one of the bags and confirms its quality. Charnier removes the drugs and hides the money, concealing it beneath the rocker panels of another car purchased at an auction of junk cars, which he will take back to France. Charnier and Sal drive off in the Lincoln, but hit a roadblock with a large contingent of police led by Popeye. The police chase the Lincoln back to the factory, where Boca is killed during a shootout while most of the other criminals surrender.
Charnier escapes into the warehouse with Popeye and Cloudy in pursuit. Popeye sees a shadowy figure in the distance and opens fire a split-second after shouting a warning, killing Mulderig. Undaunted, Popeye tells Cloudy that he will get Charnier. After reloading his gun, Popeye runs into another room and a single gunshot is heard.
Title cards note that Weinstock was indicted but his case dismissed for ""lack of proper evidence""; Angie Boca received a suspended sentence for an unspecified misdemeanor; Lou Boca received a reduced sentence; Devereaux served four years in a federal penitentiary for conspiracy; and Charnier was never caught. Popeye and Cloudy were transferred out of the narcotics division and reassigned.
"
You Can't Take It with You,"
Jean Arthur
Lionel Barrymore
James Stewart
Edward Arnold
","
August 23, 1938 (1938-08-23)
(int'l press preview)[1]
September 1, 1938 (1938-09-01)
(New York City)[2]","NAA successful banker, Anthony P. Kirby (Edward Arnold), has just returned from Washington, D.C., where he was effectively granted a government-sanctioned munitions monopoly, which will make him very rich. He intends to buy up a 12-block radius around a competitor's factory to put him out of business, but there is one house that is a holdout to selling. Kirby instructs his real estate broker, John Blakely (Clarence Wilson), to offer a huge sum for the house, and if that is not accepted, to cause trouble for the family.  Meanwhile, Grandpa Vanderhof (Lionel Barrymore) convinces a banker named Poppins to pursue his dream of making animated toys.
Kirby's son, Tony (James Stewart), a vice president in the family company, has fallen in love with a company stenographer, Alice Sycamore (Jean Arthur). When Tony proposes marriage, Alice is worried that her family would be looked upon poorly by Tony's rich and famous family. In fact, Alice is the only relatively normal member of the eccentric Sycamore family, led by Vanderhof. Unbeknownst to the players, Alice's family lives in the house that will not sell out.
Kirby and his wife (Mary Forbes) strongly disapprove of Tony's choice for marriage. Before she accepts, Alice forces Tony to bring his family to become better acquainted with their future in-laws. But when Tony purposely brings his family on the wrong day, the Sycamore family is caught off-guard and the house is in disarray. As the Kirbys are preparing to leave after a rather disastrous meeting, the police arrive in response to what they perceive as printed threats on flyers by Grandpa's son in law, Ed Carmichael. When the fireworks in the basement go off, they arrest everyone in the house.
Held up in the drunk tank preparing to see the night court judge, Mrs. Kirby repeatedly insults Alice and makes her feel unworthy of her son, while Grandpa explains to Kirby the importance of having friends and that despite all the wealth and success in business, ""you can't take it with you"". At the court hearing, the judge (Harry Davenport) allows for Grandpa and his family to settle the charges for disturbing the peace and making illegal fireworks by assessing a fine, which Grandpa's neighborhood friends pitch in to pay for. He repeatedly asks why the Kirbys were at the Vanderhof house. When Grandpa, attempting to help Kirby, says it was to talk over selling the house, Alice has an outburst and says it was because she was engaged to Tony but is spurning him because of how poorly she has been treated by his family. This causes a sensation in the papers, and Alice flees the city.
With Alice gone, Grandpa decides to sell the house, thus meaning the whole section of the town must vacate in preparation for building a new factory. Now, the Kirby companies merge, creating a huge fluctuation in the stock market.  When Kirby's competitor, Ramsey (H. B. Warner), dies after confronting him for being ruthless and a failure of a man, Kirby has a realization he is heading for the same fate, and decides to leave the meeting where the signing of the contracts is to take place.
As the Vanderhofs are moving out of the house, Tony tries to track down Alice. Kirby arrives and talks privately with Grandpa, sharing his realization. Grandpa responds by inviting him to play ""Polly Wolly Doodle"" on the harmonica that he gave him. The two let loose with the rest of the family joining in the merriment, and with Alice taking Tony back. Later, at the dinner table, Grandpa says grace for the Sycamore family and the Kirbys, revealing that Kirby has sold back the houses on the block.
"
A Man for All Seasons,NA,NA,NA
From Here to Eternity,Burt LancasterMontgomery CliftDeborah KerrDonna ReedFrank Sinatra,"
August 5, 1953 (1953-08-05)
","NAIn 1941, bugler and career soldier Private Robert E. Lee Prewitt transfers to a rifle company at Schofield Barracks on the island of Oahu. Because Prewitt was also a boxer, Captain Dana ""Dynamite"" Holmes wants him on his regimental team. Prewitt refuses because he stopped fighting after he blinded a friend. Holmes makes Prewitt's life miserable; and ultimately orders First Sergeant Milton Warden to prepare a court-martial. Warden successfully suggests doubling Prewitt's company punishment as an alternative. Prewitt is hazed by other non-commissioned officers and is supported only by his close friend, Private Angelo Maggio.
Prewitt and Maggio join a social club where Prewitt becomes attracted to Lorene. At the club, Maggio gets into an argument with stockade Sergeant Judson. Later, at a local bar, Judson provokes Maggio and the two nearly come to blows before Warden intervenes.
Warden, despite warning from another sergeant, risks prison after beginning an affair with Holmes' wife, Karen. Karen's marriage to Holmes is fraught with his unfaithfulness which was exacerbated after the stillbirth of a child and Karen's subsequent infertility. Karen encourages Warden to become an officer which would enable her to divorce Holmes and marry him.
Maggio is sentenced to the stockade after walking off guard duty and getting drunk. This results in harsh treatment at the hands of Judson.  Prewitt discovers Lorene's name is really Alma and her goal is to make enough money at the club to return to the mainland and live a proper life. Prewitt tells her his career is in the military, and the two contemplate if they have a future together.
A sergeant named Galovitch, who is a member of Holmes' boxing team, picks a fight with Prewitt. The fight is reported to Holmes who observes it without intervening. Prewitt gets the best of Galovitch, and Holmes learns Galovitch started the fight, but Holmes issues no punishment. Higher-ranking officers observe Holmes' conduct and force his resignation in lieu of a court martial.
Maggio escapes the stockade after a brutal beating from Judson. His injuries are aggravated during his escape and he dies in Prewitt's arms.  Prewitt seeks revenge against Judson and the two stab each other in a back alley.  Judson dies from his wounds and Prewitt, severely injured, goes absent without leave and stays with Lorene. Warden covers for his absence.
The captain that replaces Holmes demotes Galovitch and affirms that boxing will not be used as a pathway to promotion.
Warden tells Karen about Prewitt. Karen tells Warden that Holmes' resignation is forcing them back stateside; but Warden divulges he is not interested in becoming an officer. Karen walks away with both realizing their relationship has ended.
The Japanese attack Pearl Harbor. Warden keeps his head in the chaos. That night, Prewitt attempts to rejoin his company but is killed when he refuses to halt. Warden identifies him as a good soldier, but a hardhead.
Karen and Lorene coincidentally stand next to each other on the ship that is taking them to the mainland. Lorene tells Karen that her ""fiancé"" died heroically during the Pearl Harbor attack and was awarded a silver star (none of which is true). She names Prewitt as the fiancé, and looks at his bugle mouthpiece which she is holding. Karen recognizes the name, but stays silent. Lorene says ""Isn't that a silly old name?""
"
My Fair Lady,NA,NA,NA
The Last Emperor,"
John Lone
Joan Chen
Peter O'Toole
Ying Ruocheng
Victor Wong
Dennis Dun
Ryuichi Sakamoto
","
4 October 1987 (1987-10-04) (Tokyo)
23 October 1987 (1987-10-23) (Italy)
26 February 1988 (1988-02-26) (United Kingdom)
","NAIn 1950, Puyi has been kept in custody for five years, since the Red Army captured him during the Soviet invasion of Manchuria at the end of World War II. In the recently established People's Republic of China, Puyi arrives as a political prisoner and war criminal at the Fushun Prison. Soon after his arrival, Puyi attempts suicide, but is quickly revived and told he must stand trial.
42 years earlier, in 1908, a toddler Puyi is summoned to the Forbidden City by the dying Empress Dowager Cixi. After telling him that the previous emperor had died earlier that day, with her last words, Cixi tells Puyi that he will be the next emperor. After his coronation, Puyi, frightened by his new surroundings, repeatedly expresses his wish to go home, which is denied. Despite having scores of palace eunuchs and maids to wait on him, his only real friend is his wet nurse, Ar Mo, who accompanied him and his father to the palace on the Empress Dowager's summons.
The next section of the film continues the series of chronological flashbacks showing Puyi's early life intermixed with his imprisonment in the 1950s. His upbringing is confined entirely to the imperial palace, which he is not allowed to leave. When he is about ten, he is visited by his younger brother, Pujie, who tells him he is no longer Emperor and that China is a republic; that same day, Ar Mo is made to leave him. In 1919, the kindly Scotsman Reginald Johnston is appointed as Puyi's tutor and gives him a Western-style education. Puyi becomes increasingly desirous to leave the Forbidden City. Johnston, wary of the courtiers' expensive lifestyle, convinces Puyi that the best way of achieving this is by marrying; Puyi subsequently weds Wanrong, with Wenxiu as a secondary consort.
Now the master of his own home, Puyi sets about reforming the Forbidden City, including expelling the thieving palace eunuchs. However, in 1924, he himself is expelled from the palace and exiled to Tientsin following the Beijing Coup. He leads a decadent life as a playboy and Anglophile, and he sides with Japan after the Mukden Incident. During this time Wenxiu divorces him, but Wanrong remains and eventually succumbs to opium addiction. In 1934 the Japanese crown him ""Emperor"" of their puppet state of Manchukuo, though his supposed political supremacy is undermined at every turn. Wanrong gives birth to a child, but the baby is murdered at birth and proclaimed stillborn. He remains nominal ruler of the region until his capture by the Red Army.
Under the ""Communist re-education programme"" for political prisoners, Puyi is coerced by his interrogators to formally renounce his forced collaboration with the Japanese invaders for war crimes during the Second Sino-Japanese War. Finally, after a heated discussion with the camp commandant and upon watching a film detailing the wartime atrocities committed by the Japanese, Puyi recants his previous stance and is considered rehabilitated by the government; he is subsequently set free in 1959.
The final minutes of the film show a flash-forward to 1967 during the rise of Mao Zedong's cult of personality and the beginning of the Cultural Revolution. By now, Puyi has become a simple gardener who lives a peasant proletarian existence. On his way home from work, he happens upon a Red Guard parade, complete with children playing pentatonic music on accordions en masse and dancers who dance the rejection of landlordism by the Communists. His prison camp commander, who helped him greatly during his rehabilitation, is one of the political prisoners now punished as an anti-revolutionary in the parade, forced to wear a dunce cap and a sandwich board bearing punitive slogans.
Puyi later visits the Forbidden City as an ordinary tourist. He meets an assertive little boy wearing the red scarf of the Pioneer Movement. The young Communist orders Puyi to step away from the throne. However, Puyi proves to the boy that he was indeed the Son of Heaven, proceeding to approach the throne. Behind it, Puyi finds a 60-year-old pet cricket that he was given by palace official Chen Baochen on his coronation day and gives it to the child. Amazed by the gift, the boy turns to talk to Puyi, but the emperor has disappeared.
In 1987, a tour guide is leading a group through the palace. Stopping in front of the throne, the guide sums up Puyi's life in a few, brief sentences, concluding that he died in 1967.
"
Ordinary People,Donald SutherlandMary Tyler MooreJudd HirschTimothy Hutton,"
September 19, 1980 (1980-09-19)
","NAThe Jarretts are an upper-middle-class family in suburban Chicago trying to return to normal life after the accidental death of their older teenage son, Buck, and the attempted suicide of their younger and surviving son, Conrad. Conrad, who has recently returned home from a four-month stay in a psychiatric hospital, feels alienated from his friends and family and begins seeing a psychiatrist, Dr Berger. Berger learns that Conrad was involved in the sailing accident that took the life of Buck, whom everyone idolized. Conrad now deals with post-traumatic stress disorder and survivor's guilt.
Conrad's father, Calvin, tries to connect with his surviving son and understand his wife. Conrad's mother, Beth, denies her loss, hoping to maintain her composure and restore her family to what it once was. She appears to have loved her older son more, and because of the suicide attempt, has grown cold toward Conrad. She is determined to maintain the appearance of perfection and normalcy. Conrad works with Dr Berger and learns to try to deal with, rather than control, his emotions. He starts dating a fellow student, Jeannine, who helps him to begin to regain a sense of optimism. Conrad, however, still struggles to communicate and re-establish a normal relationship with his parents and schoolmates, including Stillman, with whom he gets into a fistfight. He cannot seem to allow anyone, especially Beth, to get close. Beth makes several guarded attempts to appeal to Conrad for some semblance of normality, but she ends up being cold towards him.
Mother and son often argue while Calvin tries to referee, generally taking Conrad's side for fear of pushing him over the edge again. Things come to a climax near Christmas when Conrad becomes furious at Beth for not wanting to take a photo with him, swearing at her in front of his grandparents. Afterwards, Beth discovers Conrad has been lying about his after-school whereabouts. This leads to a heated argument between Conrad and Beth in which Conrad points out that Beth never visited him in the hospital, saying that she ""would have come if Buck was in the hospital."" Beth replies, ""Buck never would have been in the hospital!"" Beth and Calvin take a trip to see Beth's brother in Houston, where Calvin confronts Beth, calling her out on her attitude.
Conrad suffers a setback when he learns that Karen, a friend of his from the psychiatric hospital, has committed suicide. A cathartic breakthrough session with Dr. Berger allows Conrad to stop blaming himself for Buck's death and accept his mother's frailties. Calvin, however, emotionally confronts Beth one last time. He questions their love and asks whether she is capable of truly loving anyone. Stunned, Beth leaves for a while and goes back to Houston. Calvin and Conrad are left to come to terms with their new family situation.
"
How Green Was My Valley,Walter PidgeonMaureen O'HaraDonald CrispAnna LeeRoddy McDowall,"
October 28, 1941 (1941-10-28)
",NA
Hamlet,NA,NA,NA
Marty,Ernest BorgnineBetsy BlairJoe MantellFrank SuttonKaren SteeleJerry ParisEsther MinciottiAugusta Ciolli,"
April 11, 1955 (1955-04-11)
","NAIn 1955, Marty Piletti (Ernest Borgnine) is an Italian American butcher who lives in The Bronx with his mother (Esther Minciotti). Unmarried at 34, the good-natured but socially awkward Marty faces constant badgering from family and friends to settle down, pointing out that all his brothers and sisters are already married with children. Not averse to marriage but disheartened by his lack of prospects, Marty has reluctantly resigned himself to bachelorhood.
After being harassed by his mother into going to the Stardust Ballroom one Saturday night, Marty connects with Clara (Betsy Blair), a plain science teacher at Benjamin Franklin High School, who is quietly weeping on the roof after being callously abandoned at the ballroom by her blind date. They spend the evening together dancing, walking the busy streets, and talking in a diner. Marty eagerly spills out his life story and ambitions, and they encourage each other. He brings Clara to his house, and they awkwardly express their mutual attraction, shortly before his mother returns. Marty takes her home by bus, promising to call her at 2:30 the next afternoon, after Mass. Overjoyed on his way back home, he punches the bus stop sign and weaves between the cars, looking for a cab instead.
Meanwhile, his cranky, busybody widowed Aunt Catherine (Augusta Ciolli) moves in to live with Marty and his mother. She warns his mother that Marty will soon marry and cast her aside. Fearing that Marty's romance could spell her abandonment, his mother belittles Clara. Marty's friends, with an undercurrent of envy, deride Clara for her plainness and try to convince him to forget her and to remain with them, unmarried, in their fading youth. Harangued into submission by the pull of his friends, Marty doesn't call Clara.
That night, back in the same lonely rut, Marty realizes that he is giving up a woman whom he not only likes, but who makes him happy. Over the objections of his friends, he dashes to a phone booth to call Clara, who is disconsolately watching television with her parents. When his friend asks what he's doing, Marty bursts out saying:
"
The Hurt Locker,"
Jeremy Renner
Anthony Mackie
Brian Geraghty
Evangeline Lilly
Ralph Fiennes
David Morse
Guy Pearce
","
September 4, 2008 (2008-09-04) (Venice)
June 26, 2009 (2009-06-26) (United States)
","NAIn 2004, Sergeant First Class William James arrives as the new team leader of a U.S. Army Explosive Ordnance Disposal (EOD) unit in the Iraq War. He replaces Staff Sergeant Matthew Thompson, who was killed by an improvised explosive device (IED) in Baghdad. His team includes Sergeant J. T. Sanborn and Specialist Owen Eldridge.
James is often approached by an Iraqi youth nicknamed ""Beckham"", attempting to sell DVDs. James challenges him to a game of football and takes a liking to him.
Sanborn and Eldridge consider James' maverick disposal methods and attitude reckless, raising tensions. When they are assigned to destroy explosives, James returns to the detonation site to pick up his gloves. Sanborn openly contemplates killing him by ""accidentally"" triggering the explosives, making Eldridge uncomfortable. Nothing is done, and tensions continue to increase.
Returning to Camp Victory in their Humvee, the team encounters five armed men in traditional Arab garb and casual attire standing near a Ford Excursion, which has a flat tire. James' team has a tense encounter with their leader, who reveals they are private military contractors and British mercenaries. They have captured two prisoners featured on the most-wanted Iraqi playing cards. The group comes under fire; when the prisoners attempt to escape in the confusion, the leader of the mercenaries shoots them, as they are valuable dead or alive. Enemy snipers kill three of the mercenaries, including their leader. Sanborn and James borrow a gun to dispatch three attackers, while Eldridge kills a fourth.
During a raid on a warehouse, James discovers a body he believes is Beckham, in which a bomb has been surgically implanted. During the evacuation, Lieutenant Colonel John Cambridge, the camp's psychiatrist and a friend of Eldridge, is killed in an explosion; Eldridge blames himself for his death. James breaks into the house of an Iraqi professor, seeking revenge for Beckham, but his search reveals nothing.
Called to a petrol tanker detonation, James decides to hunt for the insurgents responsible, guessing they are still nearby. Sanborn protests, but when James begins a pursuit, he and Eldridge reluctantly follow. After they split up, insurgents capture Eldridge. James and Sanborn rescue him, but one of James' rounds hits Eldridge in the leg. The following morning, James is approached by Beckham, whom James believed was dead, and James walks by silently. Before being airlifted for surgery, Eldridge angrily blames James for his injury.
James and Sanborn's unit is called to another mission in their last two days of their rotation. An innocent Iraqi civilian has had a bomb vest strapped to his chest. James tries to cut off the locks to remove the vest, but there are too many of them. He abandons the man who is then killed when the bomb explodes. Sanborn is distraught by the man's death. He confesses to James he can no longer cope with the pressure and wants to return home and have a son.
After Bravo Company's rotation ends, James returns to his wife Connie and their infant son, who still lives with him in his house. However, he is bored by routine civilian life. James confesses to his son there is only one thing he knows he loves. He starts another tour of duty, serving with Delta Company, a U.S. Army EOD unit on its 365-day rotation.
"
Kramer vs. Kramer,Dustin Hoffman Meryl Streep Jane Alexander,"
December 19, 1979 (1979-12-19)
","NATed Kramer (Dustin Hoffman) is a workaholic advertising executive who has just been assigned a new and very important account. Ted arrives home and shares the good news with his wife Joanna (Meryl Streep) only to find that she is leaving him. She leaves Ted to raise their son Billy (Justin Henry) by himself. Ted and Billy initially resent one another as Ted no longer has time to carry his increased workload, and Billy misses his mother's love and attention. After months of unrest, Ted and Billy learn to cope and gradually bond as father and son.
Ted befriends his neighbor Margaret (Jane Alexander), who had initially counseled Joanna to leave Ted if she was that unhappy. Margaret is a fellow single parent, and she and Ted become kindred spirits. One day, as the two sit in the park watching their children play, Billy accidentally falls off the jungle gym, severely cutting his face. Ted sprints several blocks through oncoming traffic carrying Billy to the hospital, where he comforts his son during treatment.
15 months after she walked out, Joanna returns to New York to claim Billy, and a custody battle ensues. During the custody hearing, both Ted and Joanna are unprepared for the brutal character assassinations that their lawyers unleash on the other. Margaret is forced to testify that she had advised an unhappy Joanna to leave Ted, though she also attempts to tell Joanna on the stand that her husband has profoundly changed. Eventually, the damaging facts that Ted was fired because of his conflicting parental responsibilities which forced him to take a lower-paying job come out in court, as do the details of Billy's accident.[3] His original salary was noted as ""$33,000 a year"", whereas he was forced to admit that his new salary was only ""$28,200"", after Joanna has told the court that her ""present salary"" as a sportswear designer is ""$31,000 a year"".[3]
The court awards custody to Joanna, a decision mostly based on the tender years doctrine. Devastated with the decision, Ted discusses appealing the case, but his lawyer warns that Billy himself would have to take the stand in the resulting trial. Ted cannot bear the thought of submitting his child to such an ordeal, and decides not to contest custody.
On the morning that Billy is to move in with Joanna, Ted and Billy make breakfast together, mirroring the meal that Ted tried to cook the first morning after Joanna left. They share a tender hug, knowing that this is their last daily breakfast together. Joanna calls on the intercom, asking Ted to come down to the lobby alone. When he arrives she tells Ted how much she loves and wants Billy, but she knows that his true home is with Ted, and therefore will not take custody of him. She asks Ted if she can go up and see Billy, and Ted says that would be fine. As they are about to enter the elevator together, Ted tells Joanna that he will stay downstairs to allow Joanna to see Billy in private. After she enters the elevator, Joanna wipes tears from her face and asks her former husband ""How do I look?"" As the elevator doors start to close on Joanna, Ted answers, ""Terrific.""
"
West Side Story,NA,NA,NA
Mrs. Miniver,Greer GarsonWalter Pidgeon,"
June 4, 1942 (1942-06-04) (Radio City Music Hall, New York)
July 22, 1942 (1942-07-22) (US)
","NAKay Miniver (Greer Garson) and her family live a comfortable life at a house called ""Starlings"" in Belham, a fictional village outside London. The house has a large garden, with a private landing stage on the River Thames at which is moored a motorboat belonging to her devoted husband, Clem (Walter Pidgeon), a successful architect. They have three children: the youngsters Toby (Christopher Severn) and Judy (Clare Sandars), and an older son, Vin (Richard Ney), a student at Oxford University. They have live-in staff: Gladys, the housemaid (Brenda Forbes), and Ada, the cook (Marie De Becker).
As World War II looms, Vin returns from the university and meets Carol Beldon (Teresa Wright), granddaughter of Lady Beldon (Dame May Whitty) from nearby Beldon Hall. Despite initial disagreements—mainly contrasting Vin's idealistic attitude to class differences with Carol's practical altruism—they fall in love. As the war comes closer to home, Vin feels he must ""do his bit"", and enlists in the Royal Air Force, qualifying as a fighter pilot. He is posted to a base near to his parents' home and can signal his safe return from operations to his parents by ""blipping"" his engine briefly (rapidly open and closing the throttle, which results in short, sharp roars of sound) as he flies over the house. Vin proposes to Carol in front of his family at home, after his younger brother prods him to give a less romantic, but more honest, proposal than he had envisioned. Together with other boat owners, Clem volunteers to take his motorboat, the Starling, to assist in the Dunkirk evacuation.
Early one morning, Kay, unable to sleep as Clem is still away, wanders down to the landing stage. She is startled to discover a wounded German pilot (Helmut Dantine) hiding in her garden, and he takes her to the house at gunpoint. Demanding food and a coat, the pilot aggressively asserts that the Third Reich will mercilessly overcome its enemies. She feeds him, calmly disarms him when he collapses, and then calls the police. Soon after, Clem returns home, exhausted, from Dunkirk.
Lady Beldon visits Kay to try and convince her to talk Vin out of marrying Carol on account of her granddaughter's comparative youth at age eighteen. Kay reminds Her Ladyship that she, too, had been young—sixteen, in fact—when she married her late husband. Lady Beldon concedes defeat and realizes that it would be futile to try to stop the marriage. Vin and Carol marry; Carol has now also become a Mrs. Miniver, and they return from their honeymoon in Scotland. A key theme is that she knows Vin is likely to be killed in action, but their short love will fill her life. Later, Kay and her family take refuge in their Anderson shelter in the garden during an air raid, and attempt to keep their minds off the frightening bombing by reading Alice's Adventures in Wonderland, which Clem refers to as a ""lovely story"". They barely survive as a bomb destroys part of Starlings. The Minivers take the damage with nonchalance.
At the annual village flower show, Lady Beldon silently disregards the judges' decision that her rose is the winner. Instead, she announces that the rose entered by the local stationmaster, Mr. Ballard (Henry Travers), named the ""Mrs. Miniver"", as the winner, with her own Beldon Rose taking second prize. As air raid sirens sound and the villagers take refuge in the cellars of Beldon Hall, Kay and Carol drive Vin to join his squadron. On their journey home, they witness fighter planes in a dogfight. For safety, Kay stops the car, and they see a German plane crash. Kay realizes Carol has been wounded by machine-gun fire from the plane, and takes her back to Starlings. She dies a few minutes after they reach home. Kay is devastated. When Vin returns from battle, he already knows the terrible news: Ironically, he is the survivor, and she the one who died.
The villagers assemble at the badly damaged church where their vicar affirms their determination in a powerful sermon:
"
Oliver!,NA,NA,NA
